"caseID","activity","resource","start_time","complete_time","span","work_order_qty","part_desc","worker_id","report_type","qty_completed","qty_rejected","qty_mrb","rework","timestamp","lifecycle","activity_only","resource_only"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/02/29 18:31:00.000","2012/02/29 21:58:00.000","003:27","230","Cable Head","ID4429","S","2","0","0","","2012/02/29 18:31:00","arrival","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/02/29 18:31:00.000","2012/02/29 21:58:00.000","003:27","230","Cable Head","ID4429","S","2","0","0","","2012/02/29 18:31:00","start","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/02/29 18:31:00.000","2012/02/29 21:58:00.000","003:27","230","Cable Head","ID4429","S","2","0","0","","2012/02/29 21:58:00","complete","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/02/29 21:59:00.000","2012/02/29 23:44:00.000","001:45","230","Cable Head","ID4429","D","12","0","0","","2012/02/29 21:58:00","arrival","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/02/29 21:59:00.000","2012/02/29 23:44:00.000","001:45","230","Cable Head","ID4429","D","12","0","0","","2012/02/29 21:59:00","start","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/02/29 21:59:00.000","2012/02/29 23:44:00.000","001:45","230","Cable Head","ID4429","D","12","0","0","","2012/02/29 23:44:00","complete","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 00:09:00.000","2012/03/01 06:41:00.000","006:32","230","Cable Head","ID4932","D","64","0","0","","2012/02/29 23:44:00","arrival","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 00:09:00.000","2012/03/01 06:41:00.000","006:32","230","Cable Head","ID4932","D","64","0","0","","2012/03/01 00:09:00","start","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 00:09:00.000","2012/03/01 06:41:00.000","006:32","230","Cable Head","ID4932","D","64","0","0","","2012/03/01 06:41:00","complete","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 06:56:00.000","2012/03/01 15:47:00.000","008:51","230","Cable Head","ID4529","D","65","0","0","","2012/03/01 06:41:00","arrival","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 06:56:00.000","2012/03/01 15:47:00.000","008:51","230","Cable Head","ID4529","D","65","0","0","","2012/03/01 06:56:00","start","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 06:56:00.000","2012/03/01 15:47:00.000","008:51","230","Cable Head","ID4529","D","65","0","0","","2012/03/01 15:47:00","complete","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 16:15:00.000","2012/03/01 19:20:00.000","003:05","230","Cable Head","ID4429","D","17","0","0","","2012/03/01 15:47:00","arrival","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 16:15:00.000","2012/03/01 19:20:00.000","003:05","230","Cable Head","ID4429","D","17","0","0","","2012/03/01 16:15:00","start","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 16:15:00.000","2012/03/01 19:20:00.000","003:05","230","Cable Head","ID4429","D","17","0","0","","2012/03/01 19:20:00","complete","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 20:22:00.000","2012/03/01 23:36:00.000","003:14","230","Cable Head","ID4429","S","0","0","0","","2012/03/01 19:20:00","arrival","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 20:22:00.000","2012/03/01 23:36:00.000","003:14","230","Cable Head","ID4429","S","0","0","0","","2012/03/01 20:22:00","start","Turning & Milling","Machine 5"
"Case 78","Turning & Milling - Machine 5","Machine 5 - Turning & Milling","2012/03/01 20:22:00.000","2012/03/01 23:36:00.000","003:14","230","Cable Head","ID4429","S","0","0","0","","2012/03/01 23:36:00","complete","Turning & Milling","Machine 5"
